src,dst,weight
82,202,0.07751631949125264
82,204,0.07751181751553092
82,80,0.05571904621259617
83,84,0.11145815068732115
83,82,0.11140466147878396
83,204,0.10791512778011011
83,205,0.07752982688360727
83,203,0.07751181751553092
83,85,0.05571904621259617
84,83,0.11145815068732115
84,85,0.1114180289672469
84,205,0.10791512778011011
84,204,0.07752982688360727
84,206,0.07751631949125264
84,82,0.05571570293628512
85,84,0.1114180289672469
85,86,0.11140466147880654
85,206,0.10791512778011011
85,205,0.07751631949125264
85,207,0.07751181751553851
85,83,0.05571904621259617
86,87,0.11145815068727596
86,85,0.11140466147880654
86,207,0.10791512778011011
86,208,0.07752982688359207
86,206,0.07751181751553851
86,88,0.05571904621259052
87,86,0.11145815068727596
87,88,0.11141802896726948
87,208,0.10791512778011011
87,207,0.07752982688359207
87,209,0.07751631949126023
87,85,0.05571570293627947
88,87,0.11141802896726948
88,89,0.11140466147880654
88,209,0.10791512778011011
88,208,0.07751631949126023
88,210,0.07751181751553851
88,86,0.05571904621259052
89,90,0.11145815068732115
89,88,0.11140466147880654
89,210,0.10791512778011011
89,211,0.07752982688360727
89,209,0.07751181751553851
89,91,0.05571904621259052
90,89,0.11145815068732115
90,91,0.11141802896722432
90,211,0.10791512778011011
90,210,0.07752982688360727
90,212,0.07751631949124502
90,88,0.055715702936290766
91,90,0.11141802896722432
91,92,0.11140466147878396
91,212,0.10791512778011011
91,211,0.07751631949124502
91,213,0.07751181751553092
91,89,0.05571904621259052
92,93,0.11145815068734376
92,91,0.11140466147878396
92,213,0.10791512778011011
92,214,0.07752982688361487
92,212,0.07751181751553092
92,94,0.05571904621260182
93,92,0.11145815068734376
93,94,0.1114180289672469
93,214,0.10791512778011011
93,213,0.07752982688361487
93,215,0.07751631949125264
93,91,0.055715702936290766
94,93,0.1114180289672469
94,95,0.11140466147878396
94,215,0.10791512778011011
94,214,0.07751631949125264
94,216,0.07751181751553092
94,92,0.05571904621260182
95,96,0.11145815068732115
95,94,0.11140466147878396
